CMDLINE /home/akozameh/miniconda3/envs/CMB/bin/python main.py
MEM 0.015625 1715008823.8122
MEM 3.894531 1715008823.9125
MEM 5.441406 1715008824.0128
MEM 6.214844 1715008824.1131
MEM 7.773438 1715008824.2134
MEM 9.976562 1715008824.3137
MEM 11.042969 1715008824.4140
MEM 12.324219 1715008824.5144
MEM 13.515625 1715008824.6147
MEM 14.703125 1715008824.7149
MEM 15.121094 1715008824.8152
MEM 15.886719 1715008824.9155
MEM 16.113281 1715008825.0158
MEM 17.378906 1715008825.1161
MEM 18.410156 1715008825.2164
MEM 18.757812 1715008825.3167
MEM 19.058594 1715008825.4170
MEM 19.316406 1715008825.5172
MEM 19.847656 1715008825.6176
MEM 20.351562 1715008825.7179
MEM 20.851562 1715008825.8182
MEM 21.359375 1715008825.9185
MEM 22.132812 1715008826.0188
MEM 22.906250 1715008826.1191
MEM 23.421875 1715008826.2194
MEM 24.140625 1715008826.3197
MEM 24.398438 1715008826.4201
MEM 24.656250 1715008826.5204
MEM 26.460938 1715008826.6207
MEM 26.718750 1715008826.7210
MEM 26.976562 1715008826.8212
MEM 27.234375 1715008826.9215
MEM 27.492188 1715008827.0218
MEM 28.007812 1715008827.1222
MEM 28.523438 1715008827.2225
MEM 28.781250 1715008827.3227
MEM 29.671875 1715008827.4231
MEM 29.671875 1715008827.5234
MEM 30.445312 1715008827.6237
MEM 30.960938 1715008827.7240
MEM 31.218750 1715008827.8244
MEM 31.476562 1715008827.9247
MEM 32.250000 1715008828.0250
MEM 32.765625 1715008828.1254
MEM 33.796875 1715008828.2257
MEM 34.054688 1715008828.3260
MEM 34.312500 1715008828.4262
MEM 34.828125 1715008828.5265
MEM 35.343750 1715008828.6268
MEM 35.843750 1715008828.7271
MEM 35.843750 1715008828.8274
MEM 36.359375 1715008828.9278
